"sha","date","subj"
"a8b5875741d4","2026/8/10 20:22:37","zram: fix slot lock bit position on big-endian 64-bit"
"184bf187c45b","2026/8/6 3:16:32","zram: switch to unsigned long indexing"
"391f057f44a5","2026/8/4 6:59:19","zram: fix out-of-bounds access in read_block_state()"
"894913e2d35c","2026/8/4 6:59:18","zram: fix out-of-bounds access in writeback_store()"
"702c5a799db2","2026/8/4 9:38:41","zram: reset per-priority params when changing algorithm before init"
"6dc404d433ad","2026/8/4 9:38:38","zram: reject zero-size dictionary"
"dde75313eed0","2026/7/29 4:57:35","zram: set default primary compressor in zram_destroy_comps()"
"d56a82aa87ee","2026/7/14 14:13:00","zram: use a custom key for each zram object"
"dbb7ba9c7fa8","2026/7/14 14:12:59","zram: move lockmap to be per-zram instead per table"
"a552c81ff4a1","2026/6/19 17:14:34","Merge tag 'mm-stable-2026-06-18-09-26' of git://git.kernel.org/pub/scm/linux/kernel/git/akpm/mm"
"d1aba9859847","2026/5/28 2:48:45","zram: drop unused bio parameter from write helpers"
"3bf1c285dc40","2026/5/26 2:27:17","zram: clear trailing bytes of compressed writeback pages"
"3e8d8eb8d7f5","2026/5/26 2:27:16","zram: do not leak blk idx at the end of writeback"
"732fd9f0b9c1","2026/5/28 2:48:44","zram: fix use-after-free in zram_bvec_write_partial()"
"bf62f69574b1","2026/5/12 7:49:18","zram: fix use-after-free in zram_writeback_endio"
"2f529e73d720","2026/4/7 15:30:27","zram: reject unrecognized type= values in recompress_store()"
"e3668b371329","2026/3/31 7:42:44","zram: do not forget to endio for partial discard requests"
"cba82993308d","2026/3/17 3:23:19","zram: change scan_slots to return void"
"bf989ade270d","2026/3/16 1:53:32","zram: propagate read_from_bdev_async() errors"
"301f39220096","2026/3/11 8:42:49","zram: unify and harden algo/priority params handling"
"cedfa028b54e","2026/3/11 8:42:48","zram: remove chained recompression"
"5004a27edba5","2026/3/11 8:42:46","zram: drop ->num_active_comps"
"ed19b9d5504f","2026/3/11 8:42:45","zram: do not autocorrect bad recompression parameters"
"241f9005b1c8","2026/3/11 8:42:44","zram: do not permit params change after init"
"c09fb53d293a","2026/2/26 12:37:22","zram: use statically allocated compression algorithm names"
"b0377ee80429","2026/3/19 3:44:56","zram: do not slot_free() written-back slots"
