sha	subject	author	date	state	api_shas_match
894913e2d35c	zram: fix out-of-bounds access in writeback_store()	Longlong Xia	2026-08-04T06:59:18Z		local_patch=yes
391f057f44a5	zram: fix out-of-bounds access in read_block_state()	Longlong Xia	2026-08-04T06:59:19Z		local_patch=no
74363ec674cb	zram: fix uninitialized ZRAM not releasing backing device	Kairui Song	2024-12-09T16:57:16Z		local_patch=yes
be48c412f6eb	zram: refuse to use zero sized block device as backing device	Kairui Song	2024-12-09T16:57:15Z		local_patch=yes
013bf95a83ec	zram: add interface to specif backing device	Minchan Kim	2017-09-06T23:19:54Z		local_patch=yes
424d0e5828ad	zram: cond_resched() in writeback loop	Sergey Senozhatsky	2024-12-18T06:34:24Z		local_patch=yes
b8d3ff7bb511	zram: use zram_read_from_zspool() in writeback	Sergey Senozhatsky	2024-12-18T06:34:23Z		local_patch=yes
ef932cd23b78	zram: factor out ZRAM_HUGE write	Sergey Senozhatsky	2024-12-18T06:34:21Z		local_patch=yes
bb416d18b850	zram: writeback throttle	Minchan Kim	2018-12-28T08:36:54Z		local_patch=yes
1d69a3f8ae77	zram: idle writeback fixes and cleanup	Minchan Kim	2019-01-08T23:22:53Z		local_patch=yes
f405066a1f0d	zram: introduce writeback bio batching	Sergey Senozhatsky	2025-11-22T07:40:24Z		local_patch=yes
e828cccb72ed	zram: add writeback batch size device attr	Sergey Senozhatsky	2025-11-22T07:40:25Z		local_patch=yes
e87ddea34567	zram: rework bdev block allocation	Sergey Senozhatsky	2025-11-22T07:40:28Z		local_patch=yes
bf62f69574b1	zram: fix use-after-free in zram_writeback_endio	Richard Chang	2026-05-12T07:49:18Z		local_patch=yes
3e8d8eb8d7f5	zram: do not leak blk idx at the end of writeback	Sergey Senozhatsky	2026-05-26T02:27:16Z		local_patch=yes
bf989ade270d	zram: propagate read_from_bdev_async() errors	Sergey Senozhatsky	2026-03-16T01:53:32Z		local_patch=yes
4c1d61389e8e	zram: introduce writeback_compressed device attribute	Richard Chang	2025-12-01T09:47:49Z		local_patch=yes
ba4c3698e696	zram: rename writeback_compressed device attr	Sergey Senozhatsky	2026-02-26T02:54:21Z		local_patch=yes
d38fab605c66	zram: introduce compressed data writeback	Richard Chang	2025-12-01T09:47:48Z		local_patch=yes
3bf1c285dc40	zram: clear trailing bytes of compressed writeback pages	Sergey Senozhatsky	2026-05-26T02:27:17Z		local_patch=yes
82f91900c722	zram: switch to new zsmalloc object mapping API	Sergey Senozhatsky	2025-03-03T02:03:24Z		local_patch=yes
7d2e1a6950	mm/zsmalloc: convert create_page_chain() and its users to use zpdesc	Alex Shi	2024-12-16T15:04:37Z		local_patch=no
4610d35c14	mm/zsmalloc: convert __zs_map_object/__zs_unmap_object to use zpdesc	Hyeonggon Yoo	2024-12-16T15:04:34Z		local_patch=no
cf42d4cccf0d	zram: modernize writeback interface	Sergey Senozhatsky	2025-03-27T01:58:09Z		local_patch=yes
30226b69f876	zram: add a huge_idle writeback mode	Brian Geffon	2022-04-29T21:36:59Z		local_patch=yes
b46f9ea3cb35	zram: add incompressible writeback	Sergey Senozhatsky	2022-11-09T11:50:46Z		local_patch=yes
77db7bb56bd7	zram: add incompressible flag to read_block_state()	Sergey Senozhatsky	2022-11-09T11:50:47Z		local_patch=yes
5e99893444a0	zram: remove UNDER_WB and simplify writeback	Sergey Senozhatsky	2024-09-17T02:09:12Z		local_patch=yes
330edc2bc059	zram: rework writeback target selection strategy	Sergey Senozhatsky	2024-09-17T02:09:09Z		local_patch=yes
b967fa1ba72b	zram: do not mark idle slots that cannot be idle	Sergey Senozhatsky	2024-09-17T02:09:10Z		local_patch=yes
a70aae12502b	zram: always compile read_from_bdev_sync	Christoph Hellwig	2023-04-11T17:14:43Z		local_patch=yes
79c744eeaa8e	zram: directly call zram_read_page in writeback_store	Christoph Hellwig	2023-04-11T17:14:52Z		local_patch=yes
889ae9169b45	zram: refactor zram_bdev_read	Christoph Hellwig	2023-04-11T17:14:53Z		local_patch=yes
a0b81ae7a4ff	zram: refactor zram_bdev_write	Christoph Hellwig	2023-04-11T17:14:55Z		local_patch=yes
fd45af53e220	zram: pass a page to read_from_bdev	Christoph Hellwig	2023-04-11T17:14:56Z		local_patch=yes
1e9460d132cc	zram: return errors from read_from_bdev_sync	Christoph Hellwig	2023-04-11T17:14:59Z		local_patch=yes
0cd97a0372f2	zram: don't return errors from read_from_bdev_async	Christoph Hellwig	2023-04-11T17:14:57Z		local_patch=yes
eed993a09103	zram: Convert to use bdev_open_by_dev()	Jan Kara	2023-09-27T09:34:14Z		local_patch=yes
f85219096648	zram: clear IDLE flag after recompression	Sergey Senozhatsky	2024-10-28T15:36:14Z		local_patch=yes
d37da422edb0	zram: clear IDLE flag in mark_idle()	Sergey Senozhatsky	2024-10-28T15:36:15Z		local_patch=yes
5f0614a55e	block: change exported IO accounting interface from gendisk to bdev	Ming Lei	2022-04-18T02:27:13Z		local_patch=no
db8ffbd4e763	zram: write incompressible pages to backing device	Minchan Kim	2017-09-06T23:20:03Z		local_patch=yes
8e654f8fbff5	zram: read page from backing device	Minchan Kim	2017-09-06T23:20:07Z		local_patch=yes
1363d4662a0d	zram: add free space management in backing device	Minchan Kim	2017-09-06T23:19:57Z		local_patch=yes
0d8359620d9b	zram: support page writeback	Minchan Kim	2020-12-15T03:14:28Z		local_patch=yes
a939888ec38b	zram: support idle/huge page writeback	Minchan Kim	2018-12-28T08:36:47Z		local_patch=yes
